Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Product_ID,Sub_Category,Product_Name,Postal_Code,Segment,City,State,Region,Category,Sales
1,CA-2017-152156,2017-11-08,2017-11-11,"Second Class",CG-12520,"Claire Gute",FUR-BO-10001798,Bookcases,"Bush Somerset Collection Bookcase",42420,Consumer,Henderson,Kentucky,South,Furniture,261.96
2,CA-2017-152156,2017-11-08,2017-11-11,"Second Class",CG-12520,"Claire Gute",FUR-CH-10000454,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",42420,Consumer,Henderson,Kentucky,South,Furniture,731.94
3,CA-2017-138688,2017-06-12,2017-06-16,"Second Class",DV-13045,"Darrin Van Huff",OFF-LA-10000240,Labels,"Self-Adhesive Address Labels for Typewriters by Universal",90036,Corporate,"Los Angeles",California,West,"Office Supplies",14.62
4,US-2016-108966,2016-10-11,2016-10-18,"Standard Class",SO-20335,"Sean O'Donnell",FUR-TA-10000577,Tables,"Bretford CR4500 Series Slim Rectangular Table",33311,Consumer,"Fort Lauderdale",Florida,South,Furniture,957.5775
5,US-2016-108966,2016-10-11,2016-10-18,"Standard Class",SO-20335,"Sean O'Donnell",OFF-ST-10000760,Storage,"Eldon Fold 'N Roll Cart System",33311,Consumer,"Fort Lauderdale",Florida,South,"Office Supplies",22.368
6,CA-2015-115812,2015-06-09,2015-06-14,"Standard Class",BH-11710,"Brosina Hoffman",FUR-FU-10001487,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",90032,Consumer,"Los Angeles",California,West,Furniture,48.86
7,CA-2015-115812,2015-06-09,2015-06-14,"Standard Class",BH-11710,"Brosina Hoffman",OFF-AR-10002833,Art,"Newell 322",90032,Consumer,"Los Angeles",California,West,"Office Supplies",7.28
8,CA-2015-115812,2015-06-09,2015-06-14,"Standard Class",BH-11710,"Brosina Hoffman",TEC-PH-10002275,Phones,"Mitel 5320 IP Phone VoIP phone",90032,Consumer,"Los Angeles",California,West,Technology,907.152
9,CA-2015-115812,2015-06-09,2015-06-14,"Standard Class",BH-11710,"Brosina Hoffman",OFF-BI-10003910,Binders,"DXL Angle-View Binders with Locking Rings by Samsill",90032,Consumer,"Los Angeles",California,West,"Office Supplies",18.504
10,CA-2015-115812,2015-06-09,2015-06-14,"Standard Class",BH-11710,"Brosina Hoffman",OFF-AP-10002892,Appliances,"Belkin F5C206VTEL 6 Outlet Surge",90032,Consumer,"Los Angeles",California,West,"Office Supplies",114.9
11,CA-2015-115812,2015-06-09,2015-06-14,"Standard Class",BH-11710,"Brosina Hoffman",FUR-TA-10001539,Tables,"Chromcraft Rectangular Conference Tables",90032,Consumer,"Los Angeles",California,West,Furniture,1706.184
12,CA-2015-115812,2015-06-09,2015-06-14,"Standard Class",BH-11710,"Brosina Hoffman",TEC-PH-10002033,Phones,"Konftel 250 Conference phone - Charcoal black",90032,Consumer,"Los Angeles",California,West,Technology,911.424
